id,title,author,book_link,genre,date_published,publisher,num_of_page,lang,rate,Image URL,primary_genre,sub_genre
8917,Gather the Daughters,Jennie Melamed,https://www.goodreads.com/book/show/33778518-gather-the-daughters,"Fiction,Science Fiction",July 25th 2017,"Little, Brown and Company",352.0,English,3.61,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1483395611i/33778518.jpg,Fiction,Science Fiction
8918,The Unusual Suspects (The Sisters Grimm #2),"Michael Buckley,Peter Ferguson",https://www.goodreads.com/book/show/295834.The_Unusual_Suspects,"Fantasy,Mystery",April 1st 2007,"ABRAMS

            ,",292.0,English,4.24,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1276514128i/295834.jpg,Fantasy,Mystery
8919,A Bite to Remember (Argeneau #5),Lynsay Sands,https://www.goodreads.com/book/show/38562.A_Bite_to_Remember,"Romance,Paranormal Romance",June 27th 2006,"Avon

            ,",362.0,English,4.24,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1351280715i/38562.jpg,Romance,Paranormal Romance
8920,Want to Go Private?,Sarah Darer Littman,https://www.goodreads.com/book/show/8922184-want-to-go-private,"Young Adult,Realistic Fiction",August 1st 2011,Scholastic Press,330.0,English,3.75,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1574047113i/8922184.jpg,Young Adult,Realistic Fiction
8921,Big Questions,Anders Nilsen,https://www.goodreads.com/book/show/9970421-big-questions,"Sequential Art,Graphic Novels",August 16th 2011,"Drawn and Quarterly

            ,",592.0,English,4.16,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347351479i/9970421.jpg,Sequential Art,Graphic Novels
8922,"Celtic Fire (Rogue Angel, #50)","Alex Archer,Steven Savile",https://www.goodreads.com/book/show/20898478-celtic-fire,"Fantasy,Adventure",September 2nd 2014,"Gold Eagle

            ,",320.0,English,3.76,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1394863154i/20898478.jpg,Fantasy,Adventure
8923,Orfeo,Richard Powers,https://www.goodreads.com/book/show/17986406-orfeo,"Fiction,Music",January 20th 2014,W. W. Norton  Company,384.0,English,3.66,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1373227303i/17986406.jpg,Fiction,Music
8924,"Salonica, City of Ghosts: Christians, Muslims and Jews, 1430-1950",Mark Mazower,https://www.goodreads.com/book/show/14491.Salonica_City_of_Ghosts,"History,Nonfiction",May 9th 2006,"Vintage

            ,",544.0,English,4.3,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1408557321i/14491.jpg,History,Nonfiction
8925,Farm Sanctuary: Changing Hearts and Minds about Animals and Food,Gene Baur,https://www.goodreads.com/book/show/2485978.Farm_Sanctuary,"Nonfiction,Animals",March 1st 2008,Touchstone Books,286.0,English,4.3,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347580445i/2485978.jpg,Nonfiction,Animals
8926,Widdershins (Newford #11),Charles de Lint,https://www.goodreads.com/book/show/186417.Widdershins,"Fantasy,Fantasy",May 16th 2006,Tor Books,560.0,English,4.2,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1441128344i/186417.jpg,Fantasy,Fantasy
