id,title,author,book_link,genre,date_published,publisher,num_of_page,lang,rate,Image URL,primary_genre,sub_genre
136,"The Snowman (Harry Hole, #7)","Jo Nesbø,Don Bartlett",https://www.goodreads.com/book/show/9572203-the-snowman,"Mystery,Mystery",May 10th 2011,"Knopf

            ,",383,English,4.01,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1355881478i/9572203.jpg,Mystery,Mystery
137,"1st to Die (Women's Murder Club, #1)",James Patterson,https://www.goodreads.com/book/show/13137.1st_to_Die,"Mystery,Fiction",May 20th 2005,"Grand Central Publishing

            ,",424,English,4.08,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1522906581i/13137.jpg,Mystery,Fiction
138,"The Angel Experiment (Maximum Ride, #1)",James Patterson,https://www.goodreads.com/book/show/13152.The_Angel_Experiment,"Young Adult,Fantasy",May 5th 2006,"Grand Central Publishing

            ,",445,English,4.06,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1339277875i/13152.jpg,Young Adult,Fantasy
139,"Persepolis 2: The Story of a Return (Persepolis, #2)","Marjane Satrapi,Anjali Singh",https://www.goodreads.com/book/show/9517.Persepolis_2,"Sequential Art,Graphic Novels",August 2nd 2005,"Pantheon Books

            ,",187,English,4.16,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327865598i/9517.jpg,Sequential Art,Graphic Novels
140,Alexander Hamilton,Ron Chernow,https://www.goodreads.com/book/show/16130.Alexander_Hamilton,"History,Biography",March 29th 2005,"Penguin Books

            ,",818,English,4.17,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1436131915i/16130.jpg,History,Biography
141,"The Likeness (Dublin Murder Squad, #2)",Tana French,https://www.goodreads.com/book/show/1914973.The_Likeness,"Mystery,Fiction",August 1st 2008,"Viking Adult

            ,",466,English,4.04,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348934952i/1914973.jpg,Mystery,Fiction
142,The Sacred Band,"Janet E. Morris,Chris Morris",https://www.goodreads.com/book/show/8617107-the-sacred-band,"Fantasy,Historical",April 5th 2010,Createspace,570,English,4.46,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1349080741i/8617107.jpg,Fantasy,Historical
143,The Lost: A Search for Six of Six Million,Daniel Mendelsohn,https://www.goodreads.com/book/show/112286.The_Lost,"Nonfiction,History",September 19th 2006,"Harper

            ,",512,English,3.92,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347815813i/112286.jpg,Nonfiction,History
144,The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson,https://www.goodreads.com/book/show/8171378-the-warmth-of-other-suns,"History,Nonfiction",September 7th 2010,Random House,622,English,4.39,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1433354252i/8171378.jpg,History,Nonfiction
145,"Heat: An Amateur's Adventures as Kitchen Slave, Line Cook, Pasta-Maker, and Apprentice to a Dante-Quoting Butcher in Tuscany",Bill Buford,https://www.goodreads.com/book/show/139220.Heat,"Food and Drink,Food",May 30th 2006,"Knopf

            ,",336,English,3.9,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320554917i/139220.jpg,Food and Drink,Food
146,"Where She Went (If I Stay, #2)",Gayle Forman,https://www.goodreads.com/book/show/8492825-where-she-went,"Young Adult,Romance",April 5th 2011,Dutton Juvenile,264,English,4,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347810457i/8492825.jpg,Young Adult,Romance
147,"Pandemonium (Delirium, #2)",Lauren Oliver,https://www.goodreads.com/book/show/9593911-pandemonium,"Young Adult,Science Fiction",February 28th 2012,HarperTeen,375,English,4.04,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1310371414i/9593911.jpg,Young Adult,Science Fiction
148,"A Hat Full of Sky (Discworld, #32; Tiffany Aching, #2)",Terry Pratchett,https://www.goodreads.com/book/show/34501.A_Hat_Full_of_Sky,"Fantasy,Young Adult",May 5th 2005,"Corgi Childrens

            ,",352,English,4.25,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1319037274i/34501.jpg,Fantasy,Young Adult
